publisher_name,match_type,keyword_group,impressions,clicks,spend,bookings,revenue,ctr,cvr,cpc,cpa,roas,profit
Google - Global,Broad,Air France,138645,4838,4060.949976725,60,81345.0,0.03489487540120451,0.012401818933443571,0.8393861051519222,67.68249961208333,20.03102733750038,77284.050023275
Google - Global,Broad,Air France Brand,67642,7387,9975.0999510125,77,78217.85,0.10920729724135891,0.010423717341275214,1.3503587316925003,129.54675261055195,7.841309900063776,68242.75004898751
Google - Global,Broad,Air France Website,17344,3196,2255.4124782375,60,76535.7,0.1842712177121771,0.01877346683354193,0.7056985226024719,37.590207970625,33.93423630422098,74280.2875217625
Google - Global,Broad,Amsterdam,1561,43,124.062499825,0,0.0,0.02754644458680333,0.0,2.885174414534884,,0.0,-124.062499825
Google - Global,Broad,Basel,25,1,1.3875,0,0.0,0.04,0.0,1.3875,,0.0,-1.3875
Google - Global,Broad,Bologna,60,3,11.25,0,0.0,0.05,0.0,3.75,,0.0,-11.25
Google - Global,Broad,Bordeaux,17610,112,198.53749957500003,0,0.0,0.006360022714366837,0.0,1.7726562462053574,,0.0,-198.53749957500003
Google - Global,Broad,Brussels,1269,32,97.91249996250001,0,0.0,0.0252167060677699,0.0,3.0597656238281252,,0.0,-97.91249996250001
Google - Global,Broad,Bucharest,212,9,28.1375,0,0.0,0.04245283018867924,0.0,3.1263888888888887,,0.0,-28.1375
Google - Global,Broad,Budapest,551,19,88.39999998750001,0,0.0,0.034482758620689655,0.0,4.6526315782894745,,0.0,-88.39999998750001
Google - Global,Broad,Copenhagen,285,8,23.262499975,0,0.0,0.028070175438596492,0.0,2.907812496875,,0.0,-23.262499975
Google - Global,Broad,Dusseldorf,229,5,19.5875,0,0.0,0.021834061135371178,0.0,3.9174999999999995,,0.0,-19.5875
Google - Global,Broad,France,612907,11578,37790.249940149995,53,53941.85,0.018890304728123516,0.004577647262048713,3.2639704560502674,713.023583776415,1.427401249936954,16151.600059850003
Google - Global,Broad,Genoa,24,2,3.0,0,0.0,0.08333333333333333,0.0,1.5,,0.0,-3.0
Google - Global,Broad,Glasgow,255,3,4.8875,0,0.0,0.011764705882352941,0.0,1.6291666666666667,,0.0,-4.8875
Google - Global,Broad,Gothenburg,6,2,11.8,0,0.0,0.3333333333333333,0.0,5.9,,0.0,-11.8
Google - Global,Broad,Helsinki,67,5,12.4874999875,0,0.0,0.07462686567164178,0.0,2.4974999975,,0.0,-12.4874999875
Google - Global,Broad,Krakow,59,3,5.1,0,0.0,0.05084745762711865,0.0,1.7,,0.0,-5.1
Google - Global,Broad,Lisbon,210,8,11.075,0,0.0,0.0380952380952381,0.0,1.384375,,0.0,-11.075
Google - Global,Broad,Lyon,20263,133,216.11249948749997,2,1836.0,0.006563687509253319,0.015037593984962405,1.6249060111842104,108.05624974374999,8.49557524138577,1619.8875005125
Google - Global,Broad,Manchester,1346,5,10.024999975,0,0.0,0.003714710252600297,0.0,2.004999995,,0.0,-10.024999975
Google - Global,Broad,Marseille,10731,207,349.73749945000003,1,167.45,0.019289907743919487,0.004830917874396135,1.6895531374396138,349.73749945000003,0.47878766292814806,-182.28749945000004
Google - Global,Broad,Naples,158,4,7.575,0,0.0,0.02531645569620253,0.0,1.89375,,0.0,-7.575
Google - Global,Broad,Nice,41395,683,1225.4874962,7,8252.65,0.01649957724362846,0.010248901903367497,1.7942715903367494,175.0696423142857,6.734177236071257,7027.1625038
Google - Global,Broad,Oslo,131,4,10.7125,0,0.0,0.030534351145038167,0.0,2.678125,,0.0,-10.7125
Google - Global,Broad,Paris,675047,17436,40533.3999071125,124,124576.85,0.0258293126256394,0.007111722872218399,2.3246960258724765,326.8822573154234,3.073436975074479,84043.4500928875
Google - Global,Broad,Paris Branded,333,58,85.97499966250001,0,0.0,0.17417417417417416,0.0,1.4823275803879312,,0.0,-85.97499966250001
Google - Global,Broad,Pisa,66,5,12.65,0,0.0,0.07575757575757576,0.0,2.5300000000000002,,0.0,-12.65
Google - Global,Broad,Southampton,178,1,1.5625,0,0.0,0.0056179775280898875,0.0,1.5625,,0.0,-1.5625
Google - Global,Broad,St. Petersburg,182,3,12.225,0,0.0,0.016483516483516484,0.0,4.075,,0.0,-12.225
Google - Global,Broad,Stockholm,265,3,5.6875,0,0.0,0.011320754716981131,0.0,1.8958333333333333,,0.0,-5.6875
Google - Global,Broad,Strasbourg,1354,14,25.9375,0,0.0,0.0103397341211226,0.0,1.8526785714285714,,0.0,-25.9375
Google - Global,Broad,Tour de France,23224,1032,3343.1374997,1,1098.2,0.04443678952807441,0.0009689922480620155,3.2394743214147286,3343.1374997,0.32849381758858204,-2244.9374996999995
Google - Global,Broad,Venice,822,17,51.987499937500004,0,0.0,0.02068126520681265,0.0,3.0580882316176474,,0.0,-51.987499937500004
Google - Global,Broad,Vienna,1153,9,35.2875,0,0.0,0.007805724197745013,0.0,3.9208333333333334,,0.0,-35.2875
Google - Global,Broad,Warsaw,227,2,2.5875000000000004,0,0.0,0.00881057268722467,0.0,1.2937500000000002,,0.0,-2.5875000000000004
Google - Global,Broad,Zagreb,71,3,8.0875,0,0.0,0.04225352112676056,0.0,2.6958333333333333,,0.0,-8.0875
Google - Global,Broad,Zurich,787,25,48.7749998875,0,0.0,0.03176620076238882,0.0,1.9509999955000001,,0.0,-48.7749998875
Google - Global,Exact,Air France,107623,11209,4888.4123979625,180,237631.1,0.10415059977885768,0.016058524400035686,0.4361149431673209,27.15784665534722,48.6110991983911,232742.6876020375
